スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"復縁したい世の中の女子に言います。
相手を変えようとするんじゃなく、とにかくあなた自身が「精神的」と「経済的」に自立してください。それだけで彼は戻ってくる。






",0,10,"2,153",2025/8/7 0:11:44,https://www.threads.com/@mochi__2819/post/DNBKQvWPBoM
,"なんてLINEしようかな、こう言ったら嫌がられるかなとか余計なことに脳みそ使うのもうやめよ
その脳みそ、あなただけの幸せのために使お。
あなたを幸せにできるのはあなたしかいない。





",0,10,"2,063",2025/8/7 0:15:41,https://www.threads.com/@mochi__2819/post/DNBKtvvPtMC
,"ねぇ、回避男って実は嫉妬深い独占欲男なんだよね。愛に飢えてるから余計に相手に執着するんだよね。






",0,12,"2,413",2025/8/8 23:04:17,https://www.threads.com/@mochi__2819/post/DNGMIirvaiH
,"結局のところ回避型との恋愛の終わりって
もうこちら側が疲れて終わらせるがほとんどな気がする。






",0,40,"1,940",2025/8/10 0:42:46,https://www.threads.com/@mochi__2819/post/DNI8MruvZ2Z
,"失恋は時間が解決できるって、時間が過ぎたから言えるだけで今そこにいる人たちはそんなこと思えないよね、
私は失恋してまず立ち直るためにやったことが失恋中の私の心を幾度となく救ってくれたと思う。





",0,10,"1,245",2025/8/10 0:45:25,https://www.threads.com/@mochi__2819/post/DNI8gEvPo43
,"回避男に惚れた私はヨリ戻すためにアホのように課金して、
復縁屋→180万払うも逆効果でLINEブロックされ、自分を変えたい！と思って自己啓発サロン加入して80万払うも胡散臭い酵素ドリンク売られて終わった。
結局、これまでやってたアプローチ全部やめて、あることだけしたら彼から突然連絡きたんだよね。






",0,18,"3,517",2025/8/10 18:53:46,https://www.threads.com/@mochi__2819/post/DNK5DaTvJW4
,"回避型の記事ばっかりで何が正解かわかんないわ。でもさ、思うのはその辺のアカウントの人たちってほんとに復縁してんの？って思うし、本当ならもっとリアルな話出てきてもいいと思うんだけど、そもそも回避型の男はSNSとかほとんどやらないぞ。






",0,30,"1,794",2025/8/11 11:13:14,https://www.threads.com/@mochi__2819/post/DNMpJTsPUUU
,"・回避型かエセ回避型かの見分け方
・実は追われたい回避型のサイン5選
・絶対無理→LINEブロック→後悔したからやり直したいまでを1ヶ月で達成した方法
・私がなぜ回避型ど真ん中の男と復縁できたのか
・色んな恋愛テクを試して1番効果的だったたった一つのアプローチ

これらを全部詰め込んだnoteを今日の19時にここに貼る。正直これ読んでたらほぼこの界隈のテクニック系のnoteは要らなくなる。
けど、万人受けしたいわけじゃないから部数は限定する。そして二度と販売はしない。
なぜなら、

本気で彼を取り戻したいって思ってる人ってそんなに居ないと思うし、本気で彼を追わせたい、溺愛させたいっていう強い意志のある人にだけ読んで欲しいから。私が本気だったからこそ関わる相手も本気で恋愛に悩んでる人としか交流したくないから。買い逃しても再販は一切しないのでフォロー必須ね。












",1,16,"1,412",2025/8/11 11:35:56,https://www.threads.com/@mochi__2819/post/DNMrvfrvf2Y
,"回避彼にLINE既読スルーされてるならそれ


追われたい傾向のある男の可能性が89%。
何かしらのアクションをしながら返信はしないのが典型的な回避くんの追われたいアピール。
これ実は攻略超簡単だよ、回避くんとの恋愛イージーモードにするなら、腐るほど実践してきた私に聞くのが間違いないよ。
↓今日で売り切れると思う
note.com/novel…






















",1,7,"3,599",2025/8/11 22:12:59,https://www.threads.com/@mochi__2819/post/DNN0pXBPslu
,"私は回避男に惚れた日から、かったい沼に落ちて脱出できなくなった。
そう、心が奪われたってこのこと。
最初は優しくてグイグイ来て、あれ？私もしかしたら愛され女になってるかもって思ってた。
でもこれが自爆劇の始まりで

些細な彼の変化にも敏感になってどんどん不安が押し寄せてきて、疑問系をぶつけまくって彼から“価値観が合わないと思う”って言われてその後に
“俺よりもっと良い人いるから”って逃げられるようにシャットダウン。その後から復縁→溺溺溺愛！って感じに彼が変わったのは本当にたった一つのことをしただけ。
note.com/novel…

























",1,7,"2,147",2025/8/11 23:13:22,https://www.threads.com/@mochi__2819/post/DNN7joEv-9l
,"回避型って別れてからが本気になるタイミングだよ。






",2,16,"3,075",2025/8/11 23:44:09,https://www.threads.com/@mochi__2819/post/DNN_FLkvfHe
,"回避型男って実は“性欲お化け”なのはあるある
この辺の特徴を知ってくと意外と回避って怖くないよ。







",0,65,"7,589",2025/8/12 0:08:39,https://www.threads.com/@mochi__2819/post/DNOB4pTvAb4
,"回避彼と関係修復するために、”戦略”って言ってる人胡散臭い。戦略的にできるわけないじゃん。彼が心を全部奪ってくくらい私にとって影響力があるのに、戦略的に復縁！とかメンタル安定してない我々には無理ゲーだぜ。

本物志向のみここから🔻
購入条件:もういろんなnote買い漁らないコト！
note.com/novel…

























",1,7,"1,313",2025/8/12 10:58:45,https://www.threads.com/@mochi__2819/post/DNPMSBrv-ND
,"回避男に惚れた私が言う。
彼をズブズブのメロメロに沼らせる方法はある。
そして、戦略もクソもないから言われた通りに

やれば大抵はうまくいく。
大事なのは、あなたの“本気”と“情報を分散しないこと”なんだよ。
恋がうまくいかない人は
・色んな人に相談する
・相談するだけでアクションしない
・嫌われるのが怖い

断言するけど、回避型は基本人を嫌いになることはない。もう一度いいます、嫌いになることはない。
そして私を見つけたこと、めちゃくちゃ幸運だから本気で彼の心を奪い返すならちゃんとついてきてね。
note.com/novel…



























",2,21,"11,000",2025/8/12 17:48:44,https://www.threads.com/@mochi__2819/post/DNP7M6Tvt2T
