　,投稿文,リプ,いいね,インプ,日時,URL
,"【超朗報‼️‼️】

バアバのフォロワーさんに買って欲しいから下に続けるね！
絶対後悔させないから、見て欲しい！

でも、先着10名だって！
本当に急いでね💨

👇👇👇


少し前に紹介した前田家さんの完全無添加の粉末だしが、スーパーセールで90%OFFだって！！

今日の20時から30分限定
以下3つの商品が90%OFF
リンクはバアバのプロフィールに固定してあるよ！

どれを買う決めて待機しよう🔥
買えたら教えてね✨















",2,22,"26,000",2025/09/04 19:50:00,https://www.threads.com/@ajinobaba/post/DOLXZ2ZjdBf
,"この前、孫がおつかいでみりんを買いに行ってくれたんだけど、年齢確認をされて買えなかったんだって！
👦「なんでみりん風調味料は買えるのにみりんは買えないの？💢」
ってすごく怒ってて、バアバ思わず笑っちまったよ😂
なんでかわかる人いたらコメントで教えてね！
分かったら凄いよ👵✨









",14,88,"25,000",2025/09/05 18:00:00,https://www.threads.com/@ajinobaba/post/DONvp_-ADmA
,"炎上したらすぐに消します。part7
育児してるママでこの3つをよく使う人は、悪いこと言わないから最後まで見て‼️

①マヨネーズ
②ケチャップ
③ソース

ハンバーグとかオムライスなど、子供が好きなものにかけるこの3つ。
ちゃんと選ばないと、体に悪影響があるかも😳

スーパーで簡単に手に入って、子供に悪影響がない商品は・・・👇

① マヨネーズ
・商品名にマヨネーズと書いてあるものを選ぶ⭕️
・カロリーハーフなどは色々な添加物が入ってるのでNG❌


アミノ酸は否定はしないが、無くても美味しいから入ってなくていいかなっていうのがバアバの考えだよ👵

バアバおすすめのマヨネーズは・・・
・松田のマヨネーズ　辛口
・創健社 有精卵マヨネーズ


②ケチャップ

・ぶどう糖果糖液糖を使ってるものは選ばない❌
・出来れば有機トマトを選ぶ⭕️

ケチャップは基本的に安くても添加物が少ない調味料だね👵
加工用トマトは生食用トマトより農薬の基準がゆるいって聞いたことがあるから、バアバは有機トマトを選んでるよ！

バアバおすすめのケチャップは・・・
・オーサワのトマトケチャップ　（唯一？砂糖不使用）
・ トップバリューグリーンアイ　オーガニックトマトケチャップ

③ソース
・加工でんぷん、カラメル色素、甘味料入りは絶対に選ばない❌❌
・出来れば、原材料が国産のものを選ぶ⭕️

とんかつやたこ焼き、隠し味でも大活躍のソースだけど、結構ヤバい添加物が潜んでるからね👵


そんなバアバのおすすめソースは・・・
・カントリーハーヴェスト 中濃ソース
・トリイソース",8,35,"22,000",2025/09/04 18:00:00,https://www.threads.com/@ajinobaba/post/DOLKyXhEevz
,"【ご報告】
ありがたいことに、コメント沢山ついてとても嬉しいよ🫶
でもね、、、鍵マークついてる人は、お返事返せないみたいだ🥺
コメント増えていくと全部返せなくなってくるけど、ちゃんと読んでるからね☺️


絶対に返信欲しい時は、プロフィールからラインで連絡してね🫶
必ず返信してるよ👵✨








































",1,17,"22,000",2025/09/05 19:03:00,https://www.threads.com/@ajinobaba/post/DON2ylWEbAF
,"残酷ですが、ブラックコーヒにも添加物入ってます…

【原材料】
コーヒー/香料、乳化剤

特に香料は何が使われているのか良くわからない添加物で少し不安なんだ👵💦

コンビニやスーパーで買える無添加ブラックコーヒーは…

①UCC 職人の珈琲 ブラックコーヒー
②タリーズコーヒー　ブラック　キリマンジャロ
③ネスカフェ エクセラ　無糖






























",3,65,"21,053",2025/9/11 12:00:54,https://www.threads.com/@ajinobaba/post/DOcjPeCim_c
,"炎上したらすぐに消します🔥
添加物なんて気にするな派 vs 日本は添加物大国で危険派
この2つって結構争ってるイメージがあるんよね…
バアバはどっちも通って、今は中間のゆる無添加。
A：添加物は一切気にしない
B：添加物は極力取らない
C：ゆる無添加
あなたはどれ？
理由や背景もコメントで教えてほしい👵✨












",40,96,"20,000",2025/09/05 20:00:00,https://www.threads.com/@ajinobaba/post/DON9UVQj6ty
,"嘘みたいな本当の話をします・・・

子供にポテチを我慢させなくて良いです！

【国産じゃがいも・ほぼ米油・塩】
これだけのポテチなら、安心して子供にも食べさせられます！

スーパーで買えるおすすめのポテチ3選は・・・👇

①【菊水堂】できたてポテトチップ
工場で揚げたてのポテトチップスを当日配送！
材料にもしっかりこだわりつつ、油も酸化しない徹底ぶり。
じゃがいもの旨みとあっさりめの塩味が最高✌️

②フリーフロム こめ油で揚げ塩だけで味付けしたポテトチップス 40g
国産の芋を国産の米油で揚げた安心安全のポテトチップスです！
他の2つとは違い、岩塩を使ってるので塩味がまろやかで優しい味わい。
40gの食べ切りサイズもちょうどええね👵

③ノースカラーズ　純国産 ポテトチップス　60g
材料の全てを国産で作っている最高のポテトチップス😳
じゃがいもの旨みと、海水塩のシャープな円味がクセになる・・・
大きい子でも１袋で大満足間違い無し！！


















",5,82,"19,000",2025/08/23 12:00:00,https://www.threads.com/@ajinobaba/post/DNroJTfxLbT
,"残酷ですが、食べ方を間違えたら「納豆」は不健康食品です。

体に良い発酵食品で有名だけど、意外とワナが多い食品なんだよ😭

大豆：外国産では遺伝子組み換えの可能性あり
たれ：添加物多い、たんぱく加水分解物が一番入ってる
からし：植物油脂、増粘多糖類などが入ってる

国産大豆でタレまで無添加の物もあるんだけど…

とても高い😭
成城石井の納豆は約300円！！
他にも150円超えるものが多い👵
さすがに１パック100円は続けられないよね…
じゃあ、どうするか？

バアバの家では👵
国産大豆で出来た納豆だけを買って、タレは使わずに井上古式醤油で食べる！
からしを使う人は、ムソーかオーサワのからしを使う。
こうやって納豆を美味しく安全に食べてるよ☺️





















",20,95,"16,752",2025/9/7 19:00:44,https://www.threads.com/@ajinobaba/post/DOTAHBhAeg9
,"悪いことは言わないから、子育て大変なママさんは全員冷凍食品ストックして‼️

子供のご飯に気を使いすぎて、自分のご飯が適当になってやしないかい？😭
バアバは若い頃、それもあって栄養失調で倒れたんだよ。

今からほぼ無添加の冷凍食品を教えるから、忙しいママは冷凍庫にストックしなされ。
それだけで、心の余裕になるよ🫶

おすすめの冷凍食品は・・・👇

①bonbori 究極のひき肉で作る 牛100%ハンバーグ
原材料はこれだけ！
【牛肉、玉ねぎ、卵、牛乳、パン粉、黒胡椒、塩】
家で作るのと何も変わらない、最高のハンバーグだよ。

私みたいに調べるのが億劫な人のためにURL貼っとくね👵
https://a.r10.to/hkea5d

②浜松餃子
皮はパリッ、中はもちっ。ひと口かじれば肉汁じゅわ〜！
熟成させた上級小麦粉の皮で仕上げた絶品浜松餃子だよ。

私みたいに調べるのが億劫な人のためにURL貼っとくね👵
https://a.r10.to/hFfaKj

③おかわりくんのおすすめセット 12種類×1パック
お母さんの味のような優しい味わいのお惣菜セット
食卓に1品追加したいときにとっても便利🫶
子供のためにも、自分のためにもなる最高の冷凍食品だね。

私みたいに調べるのが億劫な人のためにURL貼っとくね👵
https://a.r10.to/h5vpMk










",2,34,"16,000",2025/08/23 10:00:00,https://www.threads.com/@ajinobaba/post/DNraZlhQmcF
,"炎上したらすぐに消します。part5
育児してるママでこの４つをよく使う人は、悪いこと言わないから最後まで見て

①はちみつ
②オリーブオイル
③酢

本物を選ばないと、逆に体に悪いかも😳
本物を選ぶためには・・・

① はちみつ
・水飴などが混ざった果糖はちみつなどがある。
・蜂に花の蜜ではなく砂糖水を与えて安く作るはちみつもある・・・

強い抗菌作用があって、喉の痛みなどにも良く効くはちみつ。
選び方を間違えると、ただの甘いシロップを摂取することになります🥹

でもね、スーパーではあまり良いのを見たことがないんだよね👵

バアバのおすすめは・・・
・ルーマニアやドイツ、ハンガリー産のはちみつ
※日本よりもさらに厳しい基準ではちみつを管理しているので、安心だよ☺️

②　オリーブオイル
・遮光のボトルに入ってること
・1mlあたり3円以下のものは買わないこと
・コールドプレス製法を選ぶ

体に良いイメージのオリーブオイルだけど、高温で抽出されたオイルはトランス脂肪酸が発生して逆効果の可能性も🥹


おすすめのオリーブオイルは・・・
・オッギュ　エキストラバージンオリーブオイル（カルディ） 
・有機EXVオリーブオイル　シェフズテーブル（ビオセボン）


③ 酢
・純米酢の原材料は米だけ！
・国産の米をを使ってるものを選ぶ
・米酢は米とアルコールで作られる

米だけで作られたお酢は酸味が強すぎず、風味があって美味しい☺️
一方で米酢は安いけど旨味はほぼなくて、酸が尖った味わい。


スーパーで買える純米酢は・・・
・純米富士酢
・ミツカン純米酢 金封


健康的な食事には、ちょっとした工夫が大事だったりします✨",7,115,"15,000",2025/08/31 20:00:00,https://www.threads.com/@ajinobaba/post/DOBFaTTkWEz
