スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"今の会社に転職して本当に思うこと。

全国転勤の夫と結婚した時、周りからついて行くなら正社員は無理でしょ？と散々言われたけど、
正社員を諦めず、”フルリモート正社員”という道を意地でも選択し続けて、
求人探しを途中でやめなくて、転職活動を諦めなくて
本っっっ当によかったな、と。

キャリアアップもできたし、お給料もしっかり上がったし、自由な働き方もできるし、正直いい事しかない。
周りに結婚や出産と共に一度正社員を辞めて非正規やパートになった友人がたくさんいるけど、
やっぱり子供が大きくなったら正社員がいい、でも難しいと嘆いてる気がする。なかなか普通の会社では難しいのかな…と

でもうちの会社はお子さんがいる派遣の方をフルリモートで定期的に採用して、一緒に働いていただいてて
一緒にお仕事がしやすかったらぜひ正社員へ！とお声がけをしてる。実際に正社員になった方もいる💪🏻💐うちの会社に来てくれる派遣さん、本当に良い方ばかりなんだよな🥲




",0,45,"3,936",2025/4/7 19:58:44,https://www.threads.com/@sena___dayo/post/DIJJH8UTtn1
,"もーほんっとにしつこいくらい周りに言われたのよ。

旦那さん全国転勤なんだ？辞めるの？☺️
ついていける専業主婦いいね〜！
フルリモートって、ITスキルもないのにそんな会社に転職できないでしょ！笑

こういう事を前職の同僚や上司に言われる度に、
ぜっっっったい転職してキャリアアップして年収も上げてフルリモート正社員で働いてやる！！！！！！！！！！！って心に誓ってた。それが私の転職活動の原動力だった🤣






",0,18,"5,254",2025/4/7 20:18:14,https://www.threads.com/@sena___dayo/post/DIJLWt2TwPA
,"【完全版】私のリアルな転職対策 │ フルリモートへの転職活動記📚

今、私が持っているものを全てここに詰め込みました！！

今回、内容をかなりボリュームアップして更新したのですが、文字量が多すぎて何度もnoteが落ちてしまいました😂笑

以下の内容が書いてあります📝

✔️「フルリモート正社員」という企業をどのように探したか
✔️ 私が見つけた「未経験×フルリモート正社員」にぴったりな職種
✔️実際に行った面接対策
✔️フルリモート採用のポイント
✔️ フルリモート環境で評価されている人の特徴
✔️私が実際に書いていた面接時のメモ
✔️逆質問一覧
✔️未経験からマーケティング職にキャリアチェンジするためのロードマップ
✔️想定される質問とその意図（50個）
✔️私が実際に受けた、フルリモート可の会社名

目次欄にもっと詳しい内容が書かれているので、
よかったら覗いてください👀
https://note.com/sena__desuyo/n/n51a1ce85812e

ご質問が多かったこちらも部数限定で追加しました📚

リアルな年収と、
未経験・フルリモートでの転職時に行った、
年収を下げないための交渉術を実際のメール文を用いて記載しました✍🏻
（以前、「フルリモ正社員で働く、リアルな私のお仕事内容とお給料」をご購入くださった方は購入されないでくださいね🙏🏻！詳しくは文面で…）
個人情報すぎるので一旦部数制限してます📚！笑
note.com/sena…





















",6,289,"57,000",2025/4/8 1:51:41,https://www.threads.com/@sena___dayo/post/DIJxg7NzgqK
,"Threadsで「いい在宅ワークないですか」って呟くのは怪しい情報商材や詐欺のターゲットになってしまうので本当にやめたほうがいいです（しっかり取捨選択できるなら別ですが！）。
まともな在宅ワークで、初期費用〇〇万円とか聞いたことないです、本当に。

それよりもきちんと自分で情報を取りに行く。

転職サイトで毎日「フルリモート 在宅ワーク」というキーワードを入れて、おすすめ順じゃなくて新着順で常に検索してください。
リモートワークは人気なので出てすぐに応募する人が多いので、早めに行動することが大事です。
私も毎日求人見てたのですが人気なものは本当に速攻なくなってしまうので、いいなと思った求人にすぐ応募できるように履歴書は練ってアップしておくことが大事。

私の会社のように、正社員じゃなくても業務委託や派遣でフルリモートを募集している会社もあるし、（弊社の場合）そこから正社員にもなれます。

あとはフルリモート求人に限っては、エージェントはあまり使わなくてもいいと思っています。
理由は求人自体人気があるのでエージェント経由で企業側がわざわざお金を払う必要がないからです！



",0,12,"1,392",2025/4/8 10:17:49,https://www.threads.com/@sena___dayo/post/DIKrcC9TtQs
,"ちなみに私の会社名は身バレ防止のために言えないのですが、実際に私が転職活動で面接を受けた、「今の会社と同じくらい（か、それ以上）行きたかったフルリモート採用の会社名」はnoteの最後に書いてますので、
ぜひ参考にしてほしいです！✍🏻






",0,21,"8,202",2025/4/8 10:54:55,https://www.threads.com/@sena___dayo/post/DIKvrx5TSzg
,"なんだかんだで、夫（30代前半、ほぼ事務職スキルのみ、転職経験なし）を
書類提出3社、面接1社のみで
大手グローバル企業、システム系部署（もちろん未経験）、年収200万アップ
で転職成功させた私すごくないですか？
（もちろんエージェントさんや本人の頑張りもあるけど）






",0,77,"21,000",2025/4/8 16:07:07,https://www.threads.com/@sena___dayo/post/DILTaS0Teaf
,"実はこの会社、最終選考まで進んだのですが
普通に直接応募した時は書類で落ちてしまって😂

その後、この会社が定期的に開催している採用イベント（オンライン）に参加させてもらい、そこから面接に進ませていただけました。
こういう選考のパターンもあるんだな〜と勉強になったので共有です📝

なので皆さんも、どうしても行きたい会社があったら落ちても稀にこういうパターンあるかもしれないので諦めないでください…！

ちなみに私の会社名は身バレ防止のために言えないのですが、実際に私が転職活動で面接を受けた、「今の会社と同じくらい（か、それ以上）行きたかったフルリモート採用の会社名」はnoteの最後に書いてますので、
ぜひ参考にしてほしいです！✍🏻









",0,5,"1,298",2025/4/8 17:20:58,https://www.threads.com/@sena___dayo/post/DILb3NazbWk
,"私がこういう投稿ばっかりしてるからかもしれないけど、Threadsにずっと「転職活動してるけど書類何十社落ちた、面接通らない」みたいな投稿沢山流れてきます…が！ほんとに大丈夫です！！私も最初めっちゃ書類落ちまくりました（多分皆さんの想像以上に）面接もコツ掴むまではそこそこ落ちました！！！でも、散々使ってたエージェント経由でもなく、急にポッと出てきた企業に応募してトントン拍子で内定が決まり、フルリモート正社員で4年目迎えようとしてます！コツさえ掴んでしまえば、あとは急にうまくいったりするんです🥲なのでしんどいかもしれないですが…長い長い人生でみると今の時期ってほんと一部なので（私はそう言い聞かせてました）！今頑張るだけでこのあと素敵なキャリアを築けるはずです！！！あと疲れたら絶対休んでください！






",0,46,"2,211",2025/4/8 23:04:26,https://www.threads.com/@sena___dayo/post/DIMDK5gTZ9L
,"エージェントの方多くてこういうこと言うのアレかもですが
もしフルリモートで割とベンチャー企業の求人探されてるのであれば、あんまりエージェント経由で出していない会社多いので、エージェントに頼らず自分で探すという方法も取ったほうがいいです！
理由はフルリモートは人気なのでエージェント経由じゃなくても沢山募集くるのと、ベンチャーだとそこまでお金かけれないってなってる可能性があるからです💭
（実際私も今の会社はエージェント経由で見つけられませんでした、自分で探しました！）





",0,16,"1,433",2025/4/9 12:12:29,https://www.threads.com/@sena___dayo/post/DINdWucz7qi
,"インサイドについての質問DM本当に多くて！
そろそろこちらでも簡単にまとめます、、！（noteには詳しく書いてます）

基本的に未経験でも全然大丈夫だと思ってるのですが、営業経験や接客、コールセンター経験なんかがあっても強いかなと思います💪🏻そこからマーケにキャリアアップしやすいです！

でもみなさん主に何が知りたいんだろう…？
私が実際にやってた仕事内容とかでいいのかな…🤔





",0,5,"1,175",2025/4/9 21:04:52,https://www.threads.com/@sena___dayo/post/DIOaSELz0Nt
