スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"スキンケアの時間は「自分を大切にする時間」
そう考えるようになってから、時間もお金も投資することに妥協しなくなった。あとはやっぱり気持ちが落ち着くと肌も落ち着く。ストレスって肌に出やすい。自分を優しく扱うことが、最高の美容だよ。






",3,23,"1,979",2025/3/24 21:18:27,https://www.threads.com/@nun___chan/post/DHlPHdVzi2-
,"ズボラの皆さんこれ知ってる？お風呂に入るだけで全身スベスベもっちり肌になれる「浸かる美容液風呂」ボディケア面倒...でも綺麗になりたい！そんな人の味方です。全身美容液に浸かれるって、最高じゃない？

↓売り切れ続出なので早いもの勝ちです🥹pr
https://item.rakuten.co.jp/az-store11/amp-baths/?scid=af_pc_etc&sc2id=af_101_0_0　
【楽天市場】【送料込み】【アウトレット品】入浴剤 バスパウダー 400g 美容液のお風呂 アンプルーム amproom 美肌 美容液 リラックス ハーブ：エーゼットストア


















































",1,2,"2,966",2025/3/25 18:43:51,https://www.threads.com/@nun___chan/post/DHniN_4zkPq
,"まって、ビオレから化け物UV誕生してる。汗かいたり蒸し蒸しするときにはサラサラになるし、エアコンで乾燥が気になる室内ではうるっと保湿してくれる。もはや生きてる！？って思うレベルで賢い。

こちらが高い紫外線防御力と日中の快適性をガチで両立しにきた「呼吸感ベールUV」です。やばすぎ🥺
https://item.rakuten.co.jp/matsukiyo/4901301449825/?scid=af_pc_etc&sc2id=af_101_0_0　 pr
【楽天市場】花王 ビオレＵＶ　アクアリッチ　呼吸感ベール ７０ｇ：マツモトキヨシ楽天市場店






















",1,118,"69,000",2025/3/26 8:37:18,https://www.threads.com/@nun___chan/post/DHpBmX2TTEi
,"スキンケアって今の悩みを解決するためだけじゃなくて、新しい肌悩みが生まれないように「良い肌に変えていく」ことが1番大切な目的なんだよね。
だからまずはスキンケアにプラスして、食事や運動の日々の生活が重要。良い肌環境を作ってあげよう。





",0,2,"1,641",2025/3/26 8:49:44,https://www.threads.com/@nun___chan/post/DHpDBcjzvmR
,"花粉症シーズン辛すぎる人、ぜったい準備して！
お出かけ前にひとふきするだけで、花粉もウイルスも付着しないように抑制してくれるから、この時期ならではの肌トラブルにも。メイクの上からでも使えるし本当に感謝。もっと早く出会いたかった！！！！⤵︎

花粉症に負けずお出かけ楽しみましょ🥹
薬局で見つけたら絶対ゲットして！
楽天はこちら↓
◻︎お試しサイズ（50g）
https://item.rakuten.co.jp/rakuten24/4909978204686/?scid=af_pc_etc&sc2id=af_101_0_0　
◻︎普通サイズ（100g）
https://item.rakuten.co.jp/rakuten24/4909978204693/?scid=af_pc_etc&sc2id=af_101_0_0　




































",1,1,"2,535",2025/3/26 9:03:57,https://www.threads.com/@nun___chan/post/DHpEpmxTdMY
,"乾燥肌さんよーーーく聞いてください。肌治安を良くしたいのであれば、朝セラミド、夜はヒアルロン酸です。これで皮剥けません。注意すること1つあって、

朝ヒアルロン酸は保湿力高すぎて、ファンデのモロモロ出がちだから朝メイク前に使わないほうが◎










",1,33,"18,000",2025/3/26 18:30:38,https://www.threads.com/@nun___chan/post/DHqFgHRsXWv
,"もう何個リピしたか分からないエリクシールの塗って寝るパック。夜塗って寝るだけで、翌朝の肌がもっちり＆ワントーン明るくなるから本当に手放せない。これだけで美白・ハリ・保湿ケアできるし、ジェルなのにしっかり密着して朝まで乾燥知らず。しかもお値段もお手頃で、約2ヶ月も使えるコスパの良さ。
「夜のスキンケア、何使えばいいか分からない…」って人に全力でオススメしたい。↓

夜のひと手間で朝の肌に自信がもてる最高アイテム♡
https://item.rakuten.co.jp/rakuten24/e515809h/?scid=af_pc_etc&sc2id=af_101_0_0　




































",1,4,"2,505",2025/3/26 20:00:50,https://www.threads.com/@nun___chan/post/DHqP00kql9p
,"本当に後悔したくないならこれ覚えといて欲しいんだけど『ナイアシンアミドは20代から仕込む』。シワやたるみが気になってからじゃ遅いのに、後回しにしてる人多すぎて泣ける…。これ見た人は今すぐナイアシンアミド習慣、始めてほしい。将来ふっくらハリ艶肌でいたいなら、絶対だよ。ちなみにナイアシンアミド初心者さんは⤵︎

化粧水なら絶対、オルビスのショットプラスフェイシャルエマルジョン。これまだあまり知られてないけどナイアシンアミドに、ビタミンC誘導、コラーゲン、ヒアルロン酸も入ってて、ポーラ独自の技術で成分を『毛穴の1000分の1サイズのナノカプセル』に凝縮。これで1,210円は破格すぎる。そして詰め替えは驚異の990円...。この価格帯で買える化粧水の中でもトップクラスのレベルだと思う…普通に安すぎでは？
https://item.rakuten.co.jp/orbis-shop/r4908064090646/?scid=af_pc_etc&sc2id=af_101_0_0　
【楽天市場】【サンプル付※なくなり次第終了】オルビス ショットプラスエッセンスローション ボトル入り 150mL 化粧水 スキンケア エイジングケア アンチエイジング ORBIS 公式店：オル

美容液ならAunaのダークスポットセラム使ってほしい。ナイアシンアミド、トラネキサム酸、アルブチンで美白成分もぎゅぎゅっとつまってるから、美白にももちろん効果感じないわけがない。くすみ、色素沈着に最強。ニキビ跡が消えない人は、気になるところだけ2度塗りしてみて。
https://item.rakuten.co.jp/anuajapan/anua00093/?scid=af_pc_etc&sc2id=af_101_0_0　
【楽天市場】【韓コス祭り限定20％OFFクーポン】＼2個セットでトナー40mlプレゼント／【ANUA公式】【ダークスポットセラム 30ml】 ナイアシンアミド10% トラネキサム酸 4% TXA 美容液 アンプ








































",2,235,"50,000",2025/3/27 18:19:30,https://www.threads.com/@nun___chan/post/DHspBabTL7u
,"インナードライの人が取り入れるべき成分はヒアルロン酸ってよく聞くけど、実はそれだけじゃ不十分。インナードライは「水分不足×皮脂過多」の状態だから、水分をしっかり抱え込むケアが必須。
そこで重要なのが...

セラミドとアミノ酸。セラミドは肌のバリア機能を強化して水分を逃がさない。アミノ酸は肌の潤いを保ちつつ、ターンオーバーを整えてくれる。どっちも足りないと、どれだけスキンケアしても乾燥が改善されにくいから気をつけて。










",6,4,"2,454",2025/3/28 12:44:43,https://www.threads.com/@nun___chan/post/DHungUFznRP
,"美肌オタク厳選。最強の『食べる日焼け止め』

◼︎トマト（リコピン）
紫外線ダメージを軽減！朝のサラダやスムージーに◎
◼︎鮭（アスタキサンチン）
活性酸素を抑えてシミ・シワ予防！美容の強い味方
◼︎アーモンド（ビタミンE）
肌の酸化を防ぎ、ツヤ肌をキープ！間食にぴったり

夏本番を迎える前の今が大切。紫外線に負けない美肌を、内側から育てよう♡







",0,12,"2,365",2025/3/28 12:45:37,https://www.threads.com/@nun___chan/post/DHunm6-zCns
